label,worst_calendar_year,worst_calendar_year_return,worst_rolling_12m_return
100% VOO,2022,-0.18174017905106865,-0.19729290942808542
95/5,2022,-0.17841408960879834,-0.19352316542836068
90/10,2022,-0.17517986488465587,-0.18983905466570294
80/20,2022,-0.16899202528733215,-0.18273332055065827
70/30,2022,-0.1631864022333661,-0.17598663176019758
100% Momentum,2022,-0.13396106771896799,-0.21063144687889024
100% VTI,2022,-0.19523457413298262,-0.21363317087189682
