date,100_pct_voo,95_5,90_10,80_20,70_30,100_pct_momentum,100_pct_vti
2012-01-12,107221.4165,106965.5614,106705.1127,106170.5917,105618.1724,101278.2978,107647.0069
2012-01-13,106768.9936,106548.4806,106323.2264,105858.6339,105375.4995,101499.7665,107144.8678
2012-01-17,107058.5343,106850.5331,106637.7224,106197.8056,105739.0541,102024.7899,107387.8485
2012-01-18,108252.9120,107974.4860,107691.4682,107111.8278,106514.3364,101862.4411,108683.6168
2012-01-19,108832.0023,108498.2419,108160.1474,107471.1549,106765.4254,101391.4060,109347.6904
2012-01-20,108832.0023,108473.6721,108111.1609,107373.8061,106620.3611,100932.1976,109380.0773
2012-01-23,108940.5845,108559.9662,108175.3094,107394.1005,106597.4013,100624.7801,109412.5037
2012-01-24,108777.7378,108407.3540,108032.8693,107271.8127,106495.0024,100653.5460,109396.2944
2012-01-25,109736.8570,109325.9457,108911.1548,108070.1682,107214.3679,100849.1010,110400.5411
2012-01-26,109175.8696,108819.1146,108458.1047,107723.5317,106972.5767,101293.9356,109833.6282
2012-01-27,109031.0549,108677.6823,108320.0411,107592.1629,106847.8432,101213.7348,109914.6349
2012-01-30,108669.1379,108356.5583,108039.4635,107391.9194,106726.8909,101615.7460,109477.2696
2012-01-31,108614.8822,108330.5329,108041.5063,107449.5985,106839.5167,102091.5662,109428.6576
2012-02-01,109646.3866,109283.2935,108915.8846,108168.3366,107404.1806,101627.8431,110692.0706
2012-02-02,109863.5244,109509.3203,109150.7272,108420.5873,107673.5350,102007.8008,110886.4631
2012-02-03,111419.7836,110869.0311,110315.0817,109197.8996,108068.8509,99884.5629,112538.6136
2012-02-06,111256.9015,110738.3243,110216.2416,109161.8552,108094.3351,100303.7883,112473.7845
2012-02-07,111600.7865,111063.3741,110522.6079,109431.3167,108327.5197,100301.6471,112732.9192
2012-02-08,111836.0006,111270.1005,110701.1057,109554.1456,108395.7470,100018.9559,112975.8841
2012-02-09,111962.6858,111359.9288,110754.4441,109535.6170,108306.8540,99481.1799,113154.0674
2012-02-10,111202.6547,110667.8067,110129.5555,109043.1487,107944.0454,99946.0743,112263.1827
2012-02-13,112053.1385,111481.3190,110906.3901,109747.5236,108577.1772,100116.5601,113121.6251
2012-02-14,111890.3095,111337.7235,110781.8428,109660.5103,108526.9382,100301.6071,112959.6827
2012-02-15,111401.6718,110885.2227,110365.1566,109314.4732,108250.2228,100471.1970,112473.7845
2012-02-16,112614.1524,112005.7805,111394.5617,110163.9196,108922.8970,100000.7787,113818.1647
2012-02-17,112885.6345,112251.6526,111615.0804,110334.5093,109044.6073,99810.7400,113980.1387
2012-02-21,112957.9931,112341.8756,111722.9590,110477.0678,109220.9968,100199.6351,113931.5346
2012-02-22,112577.9908,112050.0861,111518.4426,110444.2525,109356.0489,101399.1498,113575.2314
2012-02-23,113120.8664,112564.5963,112004.8142,110875.0398,109732.1936,101420.8092,114206.8627
2012-02-24,113283.7220,112726.4493,112165.6617,111033.8674,109888.9909,101563.1859,114368.8367
2012-02-27,113482.7923,112933.7276,112381.0504,111265.1815,110135.8319,101907.2093,114466.0448
2012-02-28,113880.9241,113326.8457,112769.1724,111643.3660,110504.1560,102209.0111,114790.0086
2012-02-29,113265.6191,112588.3537,111908.7546,110542.9255,109168.8687,99380.7332,114044.9362
2012-03-01,114007.5915,113287.7084,112565.9372,111117.1123,109661.8751,99357.7059,114919.5799
2012-03-02,113699.9390,113023.6239,112344.8954,110980.5711,109607.7085,99819.7278,114352.6670
2012-03-05,113211.3634,112526.5144,111839.3998,110458.7479,109070.1518,99188.7253,113834.3739
2012-03-06,111437.8954,110847.8570,110254.5617,109058.5490,107850.5544,99117.2443,112004.0401
2012-03-07,112324.6117,111679.5261,111031.6967,109728.1751,108414.7820,99005.4528,112975.8841
2012-03-08,113410.3806,112696.8496,111981.2701,110544.3548,109100.4101,98859.4777,114142.0889
2012-03-09,113844.7537,113129.4319,112412.0418,110971.4471,109523.7478,99254.6479,114709.0098
2012-03-12,113898.9828,113160.8618,112420.9562,110936.1872,109445.4624,98907.8458,114627.9951
2012-03-13,115943.9151,114993.2857,114043.4454,112146.5697,110254.1520,97200.4440,116749.8742
2012-03-14,115853.4358,114783.7066,113716.7457,111591.5542,109478.6968,95098.6194,116506.9013
2012-03-15,116450.6114,115374.2338,114300.6598,112162.3503,110036.5216,95570.0162,117187.1842
2012-03-16,116613.4935,115537.4334,114464.1469,112326.3234,110200.8642,95733.8938,117365.4070
2012-03-19,117102.0691,115962.6663,114827.1417,112568.1401,110325.8714,95159.9907,117802.6775
2012-03-20,116776.3757,115646.4526,114520.2734,112279.5610,110055.0487,94998.8983,117397.8097
2012-03-21,116595.3906,115514.5322,114436.4905,112289.2895,110154.6363,95628.9877,117268.1594
2012-03-22,115690.5271,114663.5374,113638.4936,111594.6869,109559.9787,95639.8609,116328.7181
2012-03-23,116142.9766,115150.7618,114159.8069,112182.1305,110210.8409,96661.0049,116798.4466
2012-03-26,117715.3096,116658.8551,115604.5521,113502.8526,111411.0998,97116.6113,118421.8870
2012-03-27,117388.1009,116356.5932,115326.8330,113273.0118,111227.5348,97213.1214,118031.4811
2012-03-28,116824.6679,115794.7279,114766.5869,112716.1557,110674.2661,96689.9902,117445.8919
2012-03-29,116624.6761,115627.6850,114631.9362,112644.6241,110663.6439,97045.2781,117234.3650
2012-03-30,117006.3973,115944.0316,114883.9819,112771.2822,110669.1847,96320.3226,117543.4954
2012-04-02,117951.5959,116884.7021,115820.0690,113698.0407,111586.4070,97165.7711,118535.7551
2012-04-03,117497.1882,116415.7245,115336.8530,113187.3364,111049.5210,96480.8666,118145.3333
2012-04-04,116261.1197,115235.7639,114212.1439,112170.5693,110137.2960,96207.3144,116827.7498
2012-04-05,116224.7455,115239.6051,114255.4913,112290.8087,110331.6151,96843.3543,116746.3477
2012-04-09,114934.1821,114051.8460,113168.9560,111401.9861,109634.2056,97312.0091,115379.9545
2012-04-10,112934.7331,112139.2005,111342.0175,109743.1603,108139.0756,96838.4525,113216.5244
2012-04-11,113861.7313,113001.7049,112140.8387,110417.0598,108691.3324,96632.2278,114159.9745
